"AttritionFlag","AvgEngagement","AvgOvertimeHours","AvgEnvironmentSatisfaction","AvgJobSatisfaction","AvgDistance","AvgMonthlyIncome","AvgYearsAtCompany"
"No",68.62,25.16,2.34,2.42,31.37,31577.14,3.99
"Yes",61.89,27.7,2.12,2.3,33.37,30852.19,3.9
